ZONA_O,H_SAIDA,FE_VIA
Ladeira da Memória,14,5802
Ladeira da Memória,15,3271
Ladeira da Memória,16,6699
Ladeira da Memória,17,7033
Ladeira da Memória,18,6770
Ladeira da Memória,19,5298
Ladeira da Memória,20,1765
Ladeira da Memória,21,980
Ladeira da Memória,22,1170
Ladeira da Memória,23,1407
Lajeado,2,429
Lajeado,4,912
Lajeado,5,5673
Lajeado,6,11205
Lajeado,7,7002
Lajeado,8,6490
Lajeado,9,994
Lajeado,10,1631
Lajeado,11,3531
Lajeado,12,7848
Lajeado,13,3292
Lajeado,14,1853
Lajeado,15,619
Lajeado,16,4145
Lajeado,17,5572
Lajeado,18,4336
Lajeado,19,2204
Lajeado,20,190
Lajeado,21,1427
Lajeado,22,884
Lapa,0,528
Lapa,5,142
Lapa,6,5528
Lapa,7,6294
Lapa,8,4690
Lapa,9,1903
Lapa,10,3646
Lapa,11,6995
Lapa,12,19992
Lapa,13,13114
Lapa,14,7431
Lapa,15,7601
Lapa,16,7520
Lapa,17,17990
Lapa,18,17731
Lapa,19,5670
Lapa,20,7140
Lapa,21,5027
Lapa,22,8127
Lapa,23,2604
Lapa de Baixo,2,163
Lapa de Baixo,4,104
Lapa de Baixo,5,429
Lapa de Baixo,6,1640
Lapa de Baixo,7,1423
Lapa de Baixo,8,1400
Lapa de Baixo,9,1127
Lapa de Baixo,10,933
Lapa de Baixo,11,920
Lapa de Baixo,12,4019
Lapa de Baixo,13,2260
Lapa de Baixo,14,2410
Lapa de Baixo,15,1846
Lapa de Baixo,16,1144
Lapa de Baixo,17,6434
Lapa de Baixo,18,8717
Lapa de Baixo,19,3264
Lapa de Baixo,20,2640
Lapa de Baixo,21,198
Lapa de Baixo,22,2270
Lapa de Baixo,23,295
Laranja da China,4,964
Laranja da China,5,1902
Laranja da China,6,5226
Laranja da China,7,2694
Laranja da China,8,664
Laranja da China,9,1606
Laranja da China,10,1676
Laranja da China,11,1255
Laranja da China,12,3022
Laranja da China,13,1808
Laranja da China,14,813
Laranja da China,15,660
Laranja da China,16,1496
Laranja da China,17,1374
Laranja da China,18,3623
Laranja da China,19,686
Laranja da China,20,97
Laranja da China,22,234
Liberdade,5,362
Liberdade,6,3087
Liberdade,7,2423
Liberdade,8,2673
Liberdade,9,2291
Liberdade,10,1699
Liberdade,11,5982
Liberdade,12,12837
Liberdade,13,4764
Liberdade,14,2333
Liberdade,15,2871
Liberdade,16,2368
Liberdade,17,6843
Liberdade,18,6037
Liberdade,19,3329
Liberdade,20,3711
Liberdade,21,6108
Liberdade,22,15507
Liberdade,23,4474
Limoeiro,4,193
Limoeiro,5,1926
Limoeiro,6,4826
Limoeiro,7,5518
Limoeiro,8,2268
Limoeiro,9,387
Limoeiro,10,1947
Limoeiro,11,1324
Limoeiro,12,4152
Limoeiro,13,3245
Limoeiro,14,1959
Limoeiro,15,1932
Limoeiro,16,3452
Limoeiro,17,2963
Limoeiro,18,3078
Limoeiro,19,1097
Limoeiro,20,1800
Limoeiro,22,395
Limoeiro,23,493
Limão,2,376
Limão,4,172
Limão,5,1802
Limão,6,2184
Limão,7,2104
Limão,8,349
Limão,9,567
Limão,10,635
Limão,11,1537
Limão,12,5133
Limão,13,2513
Limão,14,1998
Limão,15,1438
Limão,16,1888
Limão,17,4609
Limão,18,4260
Limão,19,471
Limão,20,386
Limão,21,57
Limão,22,789
Limão,23,125
Linhas Corrente,4,68
Linhas Corrente,5,1879
Linhas Corrente,6,5015
Linhas Corrente,7,6218
Linhas Corrente,8,1918
Linhas Corrente,9,1652
Linhas Corrente,10,1780
Linhas Corrente,11,1461
Linhas Corrente,12,1202
Linhas Corrente,13,2372
Linhas Corrente,14,2064
Linhas Corrente,15,865
Linhas Corrente,16,3855
Linhas Corrente,17,4715
Linhas Corrente,18,5135
Linhas Corrente,19,1033
Linhas Corrente,20,690
Linhas Corrente,22,1138
Linhas Corrente,23,279
Luz,0,24
Luz,1,264
Luz,2,100
Luz,3,83
Luz,5,1179
Luz,6,4738
Luz,7,3813
Luz,8,2512
Luz,9,2848
Luz,10,1674
Luz,11,3156
Luz,12,9427
Luz,13,6779
Luz,14,2932
Luz,15,4139
Luz,16,5475
Luz,17,17828
Luz,18,13926
Luz,19,2907
Luz,20,1517
Luz,21,3006
Luz,22,2396
Luz,23,2438
Macedo,0,404
Macedo,1,100
Macedo,2,666
Macedo,3,983
Macedo,4,241
Macedo,5,351
Macedo,6,8577
Macedo,7,7025
Macedo,8,3261
Macedo,9,5069
Macedo,10,3194
Macedo,11,6959
Macedo,12,18159
Macedo,13,8271
Macedo,14,6224
Macedo,15,3459
Macedo,16,8953
Macedo,17,12095
Macedo,18,12313
Macedo,19,6616
Macedo,20,4560
Macedo,21,3540
Macedo,22,4438
Macedo,23,2006
Mairiporã,2,464
Mairiporã,4,886
Mairiporã,5,1502
Mairiporã,6,5146
Mairiporã,7,6267
Mairiporã,8,3091
Mairiporã,9,896
Mairiporã,10,303
Mairiporã,11,801
Mairiporã,12,9038
Mairiporã,13,2824
Mairiporã,14,1512
Mairiporã,15,1948
Mairiporã,16,3844
Mairiporã,17,4216
Mairiporã,18,8926
Mairiporã,19,1130
Mairiporã,20,629
Mairiporã,21,1245
Mairiporã,22,616
Mandaqui,0,700
Mandaqui,3,15
Mandaqui,4,742
Mandaqui,5,1110
Mandaqui,6,31014
Mandaqui,7,12497
Mandaqui,8,15291
Mandaqui,9,5858
Mandaqui,10,6106
Mandaqui,11,10987
Mandaqui,12,13029
Mandaqui,13,6910
Mandaqui,14,4854
Mandaqui,15,3133
Mandaqui,16,9363
Mandaqui,17,15192
Mandaqui,18,13875
Mandaqui,19,4270
Mandaqui,20,3330
Mandaqui,21,1932
Mandaqui,22,1982
Mandaqui,23,1666
Mar Paulista,4,813
Mar Paulista,5,1173
Mar Paulista,6,12705
Mar Paulista,7,7667
Mar Paulista,8,3621
Mar Paulista,9,3056
Mar Paulista,10,988
Mar Paulista,11,2349
Mar Paulista,12,14641
Mar Paulista,13,5086
Mar Paulista,14,1690
Mar Paulista,15,2668
Mar Paulista,16,3073
Mar Paulista,17,5143
Mar Paulista,18,13297
Mar Paulista,19,244
Mar Paulista,20,971
Mar Paulista,21,1060
Mar Paulista,22,1288
Mar Paulista,23,442
Marechal Deodoro,3,262
Marechal Deodoro,5,1175
Marechal Deodoro,6,7356
Marechal Deodoro,7,11464
Marechal Deodoro,8,9538
Marechal Deodoro,9,3882
Marechal Deodoro,10,2790
Marechal Deodoro,11,6677
Marechal Deodoro,12,15020
Marechal Deodoro,13,7442
Marechal Deodoro,14,3209
Marechal Deodoro,15,3649
Marechal Deodoro,16,6888
Marechal Deodoro,17,10639
Marechal Deodoro,18,10639
Marechal Deodoro,19,4356
Marechal Deodoro,20,1209
Marechal Deodoro,21,902
Marechal Deodoro,22,4164
Marechal Deodoro,23,1387
Marsilac,4,494
Marsilac,5,1055
Marsilac,6,2421
Marsilac,7,468
Marsilac,8,473
Marsilac,9,395
Marsilac,10,510
Marsilac,11,263
Marsilac,12,1304
Marsilac,13,431
Marsilac,14,298
Marsilac,15,317
Marsilac,16,166
Marsilac,17,749
Marsilac,18,716
Marsilac,19,255
Marsilac,20,114
Masp,0,690
Masp,2,248
Masp,6,1764
Masp,7,3846
Masp,8,3522
Masp,9,3460
Masp,10,1545
Masp,11,4795
Masp,12,9289
Masp,13,6549
Masp,14,4045
Masp,15,5864
Masp,16,6252
Masp,17,9196
Masp,18,12733
Masp,19,9367
Masp,20,3782
Masp,21,2347
Masp,22,3974
Masp,23,1669
Mauá,0,2276
Mauá,4,1480
Mauá,5,2969
Mauá,6,25100
Mauá,7,17522
Mauá,8,7920
Mauá,9,7321
Mauá,10,8151
Mauá,11,10923
Mauá,12,39449
Mauá,13,17971
Mauá,14,12571
Mauá,15,10599
Mauá,16,10202
Mauá,17,29046
Mauá,18,26380
Mauá,19,7155
Mauá,20,6015
Mauá,21,7139
Mauá,22,8149
Mauá,23,4379
Melhoramentos,5,291
Melhoramentos,6,1262
Melhoramentos,7,223
Melhoramentos,8,375
Melhoramentos,9,173
Melhoramentos,10,32
Melhoramentos,11,209
Melhoramentos,12,443
Melhoramentos,13,52
Melhoramentos,14,98
Melhoramentos,15,108
Melhoramentos,16,34
Melhoramentos,17,172
Melhoramentos,18,180
Melhoramentos,20,69
Melhoramentos,21,79
Miguel Badra,0,684
Miguel Badra,1,672
Miguel Badra,4,2922
Miguel Badra,5,5292
Miguel Badra,6,17612
Miguel Badra,7,10973
Miguel Badra,8,8541
Miguel Badra,9,5816
Miguel Badra,10,5280
Miguel Badra,11,5606
Miguel Badra,12,25359
Miguel Badra,13,13263
Miguel Badra,14,8243
Miguel Badra,15,4524
Miguel Badra,16,5763
Miguel Badra,17,19148
Miguel Badra,18,12333
Miguel Badra,19,4564
Miguel Badra,20,1326
Miguel Badra,21,1805
Miguel Badra,22,3047
Miguel Badra,23,1633
Mirandópolis,1,274
Mirandópolis,5,93
Mirandópolis,6,5092
Mirandópolis,7,7421
Mirandópolis,8,3957
Mirandópolis,9,2949
Mirandópolis,10,4113
Mirandópolis,11,4331
Mirandópolis,12,9500
Mirandópolis,13,2693
Mirandópolis,14,3473
Mirandópolis,15,2584
Mirandópolis,16,5863
Mirandópolis,17,8845
Mirandópolis,18,6644
Mirandópolis,19,2487
Mirandópolis,20,606
Mirandópolis,21,558
Mirandópolis,22,3042
Mirandópolis,23,1557
Moema,0,120
Moema,2,694
Moema,4,120
Moema,5,240
Moema,6,5440
Moema,7,9975
Moema,8,6135
Moema,9,4297
Moema,10,2209
Moema,11,3015
Moema,12,9526
Moema,13,7204
Moema,14,4593
Moema,15,5325
Moema,16,7339
Moema,17,10867
Moema,18,15320
Moema,19,5398
Moema,20,3413
Moema,21,1450
Moema,22,1305
Moema,23,621
Mogi das Cruzes,0,2358
Mogi das Cruzes,2,258
Mogi das Cruzes,4,1919
Mogi das Cruzes,5,1697
Mogi das Cruzes,6,23473
Mogi das Cruzes,7,23858
Mogi das Cruzes,8,7061
Mogi das Cruzes,9,7414
Mogi das Cruzes,10,4718
Mogi das Cruzes,11,13434
Mogi das Cruzes,12,28357
Mogi das Cruzes,13,19950
Mogi das Cruzes,14,4951
Mogi das Cruzes,15,7984
Mogi das Cruzes,16,9465
Mogi das Cruzes,17,34829
Mogi das Cruzes,18,25223
Mogi das Cruzes,19,11638
Mogi das Cruzes,20,153
Mogi das Cruzes,21,5825
Mogi das Cruzes,22,5960
Mogi das Cruzes,23,5560
Moinho Velho,0,375
Moinho Velho,4,56
Moinho Velho,5,1300
Moinho Velho,6,11811
Moinho Velho,7,7173
Moinho Velho,8,3195
Moinho Velho,9,1596
Moinho Velho,10,1368
Moinho Velho,11,8746
Moinho Velho,12,10458
Moinho Velho,13,11186
Moinho Velho,14,1659
Moinho Velho,15,3140
Moinho Velho,16,4123
Moinho Velho,17,8566
Moinho Velho,18,11074
Moinho Velho,19,3899
Moinho Velho,20,786
Moinho Velho,21,801
Moinho Velho,22,1711
Moinho Velho,23,654
Montanhão,3,510
Montanhão,4,3488
Montanhão,5,6512
Montanhão,6,24216
Montanhão,7,36441
Montanhão,8,13259
Montanhão,9,11837
Montanhão,10,9962
Montanhão,11,12176
Montanhão,12,35398
Montanhão,13,20331
Montanhão,14,6781
Montanhão,15,2176
Montanhão,16,15622
Montanhão,17,18441
Montanhão,18,21961
Montanhão,19,2988
Montanhão,20,4074
Montanhão,21,1497
Montanhão,22,2594
Mooca,0,1415
Mooca,2,162
Mooca,4,142
Mooca,5,684
Mooca,6,5977
Mooca,7,6470
Mooca,8,4605
Mooca,9,2086
Mooca,10,1312
Mooca,11,6353
Mooca,12,12084
Mooca,13,4356
Mooca,14,4730
Mooca,15,4386
Mooca,16,5095
Mooca,17,7200
Mooca,18,9262
Mooca,19,3422
Mooca,20,2547
Mooca,21,2870
Mooca,22,19871
Mooca,23,4302
Morada dos Lagos,0,337
Morada dos Lagos,4,2
Morada dos Lagos,5,235
Morada dos Lagos,6,883
Morada dos Lagos,7,1234
Morada dos Lagos,8,306
Morada dos Lagos,9,156
Morada dos Lagos,10,54
Morada dos Lagos,11,139
Morada dos Lagos,12,520
Morada dos Lagos,13,649
Morada dos Lagos,14,1591
Morada dos Lagos,16,165
Morada dos Lagos,17,3237
Morada dos Lagos,18,1123
Morada dos Lagos,19,743
Morada dos Lagos,20,301
Morada dos Lagos,23,328
Morro do Índio,0,497
Morro do Índio,4,957
Morro do Índio,5,1777
Morro do Índio,6,3201
Morro do Índio,7,716
Morro do Índio,8,255
Morro do Índio,9,1174
Morro do Índio,10,1464
Morro do Índio,11,2706
Morro do Índio,12,2447
Morro do Índio,13,1501
Morro do Índio,14,579
Morro do Índio,15,430
Morro do Índio,16,2026
Morro do Índio,17,1636
Morro do Índio,18,2852
Morro do Índio,19,1342
Morro do Índio,22,259
Morro do Índio,23,2915
Morumbi,0,956
Morumbi,3,246
Morumbi,5,277
Morumbi,6,4276
Morumbi,7,4511
Morumbi,8,3057
Morumbi,9,968
Morumbi,10,1162
Morumbi,11,1713
Morumbi,12,6707
Morumbi,13,3226
Morumbi,14,1624
Morumbi,15,1912
Morumbi,16,3516
Morumbi,17,4990
Morumbi,18,3984
Morumbi,19,1735
Morumbi,20,823
Morumbi,21,343
Morumbi,22,817
Morumbi,23,158
Munhoz Junior,1,226
Munhoz Junior,3,416
Munhoz Junior,4,1728
Munhoz Junior,5,8694
Munhoz Junior,6,26509
Munhoz Junior,7,17278
Munhoz Junior,8,8108
Munhoz Junior,9,3834
Munhoz Junior,10,3689
Munhoz Junior,11,8399
Munhoz Junior,12,23778
Munhoz Junior,13,10111
Munhoz Junior,14,3877
Munhoz Junior,15,2449
Munhoz Junior,16,6420
Munhoz Junior,17,6412
Munhoz Junior,18,17266
Munhoz Junior,19,2213
Munhoz Junior,20,1222
Munhoz Junior,21,965
Munhoz Junior,22,3276
Munhoz Junior,23,2972
Mutinga,0,767
Mutinga,3,375
Mutinga,4,776
Mutinga,5,2552
Mutinga,6,12023
Mutinga,7,9854
Mutinga,8,4339
Mutinga,9,175
Mutinga,10,2520
Mutinga,11,2598
Mutinga,12,12552
Mutinga,13,6397
Mutinga,14,3177
Mutinga,15,2428
Mutinga,16,4070
Mutinga,17,7810
Mutinga,18,13146
Mutinga,19,1395
Mutinga,20,1996
Mutinga,21,1126
Mutinga,22,5460
Mutinga,23,270
Nova Granada,0,460
Nova Granada,2,957
Nova Granada,5,1663
Nova Granada,6,10121
Nova Granada,7,14910
Nova Granada,8,6467
Nova Granada,9,4476
Nova Granada,10,4952
Nova Granada,11,6949
Nova Granada,12,16284
Nova Granada,13,12510
Nova Granada,14,6525
Nova Granada,15,5391
Nova Granada,16,2707
Nova Granada,17,23368
Nova Granada,18,16578
Nova Granada,19,9624
Nova Granada,20,6902
Nova Granada,21,1474
Nova Granada,22,4379
Nova Granada,23,2632
Nova Jaraguá,1,820
Nova Jaraguá,5,2533
Nova Jaraguá,6,10500
Nova Jaraguá,7,3618
Nova Jaraguá,8,2814
Nova Jaraguá,9,1351
Nova Jaraguá,10,4829
Nova Jaraguá,11,4260
Nova Jaraguá,12,7614
Nova Jaraguá,13,4616
Nova Jaraguá,14,3001
Nova Jaraguá,15,3509
Nova Jaraguá,16,1682
Nova Jaraguá,17,3973
Nova Jaraguá,18,11064
Nova Jaraguá,19,959
Nova Jaraguá,20,260
Nova Jaraguá,21,803
Nova Jaraguá,22,1785
Orfanato,0,103
Orfanato,2,464
Orfanato,5,739
Orfanato,6,12943
Orfanato,7,7027
Orfanato,8,2315
Orfanato,9,1551
Orfanato,10,2557
Orfanato,11,6641
Orfanato,12,10382
Orfanato,13,8136
Orfanato,14,4016
Orfanato,15,4875
Orfanato,16,6241
Orfanato,17,12650
Orfanato,18,10544
Orfanato,19,3036
Orfanato,20,1248
Orfanato,21,285
Orfanato,22,6959
Orfanato,23,2458
Oriente,3,36
Oriente,4,54
Oriente,5,108
Oriente,6,668
Oriente,7,823
Oriente,8,819
Oriente,9,788
Oriente,10,2421
Oriente,11,3058
Oriente,12,8609
Oriente,13,7677
Oriente,14,3927
Oriente,15,4968
Oriente,16,5635
Oriente,17,16760
Oriente,18,4733
Oriente,19,3259
Oriente,20,748
Oriente,21,784
Oriente,22,582
Oriente,23,40
Osasco,0,253
Osasco,1,527
Osasco,2,186
Osasco,5,31
Osasco,6,596
Osasco,7,1796
Osasco,8,2096
Osasco,9,1498
Osasco,10,4116
Osasco,11,5167
Osasco,12,8309
Osasco,13,4636
Osasco,14,4811
Osasco,15,6162
Osasco,16,7879
Osasco,17,14670
Osasco,18,11957
Osasco,19,5005
Osasco,20,4610
Osasco,21,1038
Osasco,22,4597
Osasco,23,168
Oscar Freire,0,424
Oscar Freire,1,270
Oscar Freire,2,101
Oscar Freire,5,88
Oscar Freire,6,2513
Oscar Freire,7,3009
Oscar Freire,8,4066
Oscar Freire,9,3312
Oscar Freire,10,1753
Oscar Freire,11,1425
Oscar Freire,12,5766
Oscar Freire,13,5308
Oscar Freire,14,3936
Oscar Freire,15,2036
Oscar Freire,16,4411
Oscar Freire,17,6057
Oscar Freire,18,5320
Oscar Freire,19,3390
Oscar Freire,20,1478
Oscar Freire,21,822
Oscar Freire,22,1614
Oscar Freire,23,1123
Ouro Fino,5,544
Ouro Fino,6,3256
Ouro Fino,7,2020
Ouro Fino,8,1268
Ouro Fino,9,708
Ouro Fino,10,1070
Ouro Fino,11,427
Ouro Fino,12,4121
Ouro Fino,13,824
Ouro Fino,14,1930
Ouro Fino,15,359
Ouro Fino,16,1406
Ouro Fino,17,1700
Ouro Fino,18,1072
Ouro Fino,19,275
Ouro Fino,20,265
Ouro Fino,22,1723
Ouro Fino,23,182
Ouro Fino Paulista,4,200
Ouro Fino Paulista,5,895
Ouro Fino Paulista,6,3230
Ouro Fino Paulista,7,948
Ouro Fino Paulista,8,470
Ouro Fino Paulista,9,497
Ouro Fino Paulista,10,971
Ouro Fino Paulista,11,778
Ouro Fino Paulista,12,2630
Ouro Fino Paulista,13,1544
Ouro Fino Paulista,14,504
Ouro Fino Paulista,15,746
Ouro Fino Paulista,16,599
Ouro Fino Paulista,17,2839
Ouro Fino Paulista,18,1065
Ouro Fino Paulista,21,152
Ouro Fino Paulista,22,163
PUC,5,152
PUC,6,1712
PUC,7,3958
PUC,8,2246
PUC,9,2010
PUC,10,1239
PUC,11,1907
PUC,12,7862
PUC,13,4508
PUC,14,4434
PUC,15,2483
PUC,16,3694
PUC,17,5964
PUC,18,4906
PUC,19,3196
PUC,20,1346
PUC,21,1045
PUC,22,943
PUC,23,984
Pacaembu,5,22
Pacaembu,6,421
Pacaembu,7,346
Pacaembu,8,243
Pacaembu,9,434
Pacaembu,10,100
Pacaembu,11,88
Pacaembu,12,188
Pacaembu,13,534
Pacaembu,14,1052
Pacaembu,15,280
Pacaembu,16,429
Pacaembu,17,591
Pacaembu,18,2073
Pacaembu,19,29
Pacaembu,20,54
Pacaembu,21,46
Paiol Velho,15,300
Paiol Velho,16,677
Paiva Castro,5,2484
Paiva Castro,6,3188
Paiva Castro,7,2492
Paiva Castro,8,761
Paiva Castro,9,1322
Paiva Castro,10,630
Paiva Castro,11,1983
Paiva Castro,12,2092
Paiva Castro,13,2518
Paiva Castro,15,245
Paiva Castro,16,1168
Paiva Castro,17,2296
Paiva Castro,18,1420
Paiva Castro,19,170
Paiva Castro,20,1209
Paiva Castro,21,138
Paiva Castro,22,440
Palmares,17,379
Pamplona,0,46
Pamplona,2,177
Pamplona,5,263
Pamplona,6,1006
Pamplona,7,3114
Pamplona,8,2761
Pamplona,9,1817
Pamplona,10,2230
Pamplona,11,1761
Pamplona,12,3449
Pamplona,13,2907
Pamplona,14,1421
Pamplona,15,2597
Pamplona,16,2594
Pamplona,17,6951
Pamplona,18,2859
Pamplona,19,3615
Pamplona,20,791
Pamplona,21,1476
Pamplona,22,737
Pamplona,23,179
Parada Inglesa,0,244
Parada Inglesa,1,143
Parada Inglesa,2,152
Parada Inglesa,5,1848
Parada Inglesa,6,9962
Parada Inglesa,7,8058
Parada Inglesa,8,4929
Parada Inglesa,9,1311
Parada Inglesa,10,2330
Parada Inglesa,11,2934
Parada Inglesa,12,12930
Parada Inglesa,13,7074
Parada Inglesa,14,2312
Parada Inglesa,15,1051
Parada Inglesa,16,2697
Parada Inglesa,17,10592
Parada Inglesa,18,6096
Parada Inglesa,19,2209
Parada Inglesa,20,1972
Parada Inglesa,21,93
Parada Inglesa,22,1044
Parada XV,0,131
Parada XV,2,567
Parada XV,4,1190
Parada XV,5,2441
Parada XV,6,4878
Parada XV,7,9982
Parada XV,8,3654
Parada XV,9,2702
Parada XV,10,1439
Parada XV,11,2857
Parada XV,12,12964
Parada XV,13,10825
Parada XV,14,320
Parada XV,15,3059
Parada XV,16,3484
Parada XV,17,11463
Parada XV,18,8639
Parada XV,19,2188
Parada XV,20,3527
Parada XV,21,724
Parada XV,22,3077
Parada XV,23,397
Parada de Taipas,1,407
Parada de Taipas,2,360
Parada de Taipas,3,584
Parada de Taipas,4,3504
Parada de Taipas,5,10916
Parada de Taipas,6,39036
Parada de Taipas,7,20967
Parada de Taipas,8,8221
Parada de Taipas,9,4113
Parada de Taipas,10,5790
Parada de Taipas,11,12546
Parada de Taipas,12,29828
Parada de Taipas,13,19300
Parada de Taipas,14,8218
Parada de Taipas,15,6088
Parada de Taipas,16,10056
Parada de Taipas,17,15003
Parada de Taipas,18,21425
Parada de Taipas,19,5707
Parada de Taipas,20,3197
Parada de Taipas,21,3032
Parada de Taipas,22,9350
Parada de Taipas,23,2629
Paraisópolis,1,274
Paraisópolis,4,2960
Paraisópolis,5,5280
Paraisópolis,6,19253
Paraisópolis,7,8909
Paraisópolis,8,3716
Paraisópolis,9,4478
Paraisópolis,10,3942
Paraisópolis,11,4251
Paraisópolis,12,8758
Paraisópolis,13,7388
Paraisópolis,14,2443
Paraisópolis,15,3253
Paraisópolis,16,5135
Paraisópolis,17,4241
Paraisópolis,18,9693
Paraisópolis,19,2752
Paraisópolis,20,610
Paraisópolis,21,152
Paraisópolis,22,2337
Paraisópolis,23,441
Paranapiacaba,3,69
Paranapiacaba,5,405
Paranapiacaba,6,243
Paranapiacaba,7,1561
Paranapiacaba,8,304
Paranapiacaba,9,202
Paranapiacaba,10,57
Paranapiacaba,11,72
Paranapiacaba,12,355
Paranapiacaba,13,194
Paranapiacaba,14,248
Paranapiacaba,16,110
Paranapiacaba,17,396
Paranapiacaba,18,1970
Paranapiacaba,19,185
Paraíso,5,155
Paraíso,6,4010
Paraíso,7,7215
Paraíso,8,5368
Paraíso,9,3776
Paraíso,10,1737
Paraíso,11,4042
Paraíso,12,12434
Paraíso,13,11590
Paraíso,14,4910
Paraíso,15,3841
Paraíso,16,6979
Paraíso,17,11906
Paraíso,18,17029
Paraíso,19,7020
Paraíso,20,3149
Paraíso,21,1576
Paraíso,22,3291
Paraíso,23,586
Parelheiros,0,220
Parelheiros,2,4536
Parelheiros,4,8421
Parelheiros,5,12002
Parelheiros,6,34090
Parelheiros,7,16535
Parelheiros,8,4829
Parelheiros,9,4249
Parelheiros,10,8191
Parelheiros,11,18081
Parelheiros,12,31292
Parelheiros,13,9630
Parelheiros,14,5926
Parelheiros,15,6408
Parelheiros,16,10077
Parelheiros,17,14092
Parelheiros,18,17122
Parelheiros,19,3362
Parelheiros,20,1204
Parelheiros,21,4381
Parelheiros,22,2768
Parelheiros,23,3008
Pari,0,16
Pari,3,338
Pari,4,68
Pari,5,809
Pari,6,2015
Pari,7,4294
Pari,8,1928
Pari,9,1440
Pari,10,785
Pari,11,1270
Pari,12,3975
Pari,13,3951
Pari,14,3060
Pari,15,2795
Pari,16,3755
Pari,17,7576
Pari,18,2645
Pari,19,1258
Pari,20,222
Pari,21,1437
Pari,22,1033
Pari,23,1464
Parque Anhembi,1,9
Parque Anhembi,2,35
Parque Anhembi,7,909
Parque Anhembi,8,138
Parque Anhembi,10,110
Parque Anhembi,11,18
Parque Anhembi,12,1298
Parque Anhembi,13,92
Parque Anhembi,14,145
Parque Anhembi,15,3932
Parque Anhembi,16,1374
Parque Anhembi,17,2253
Parque Anhembi,18,1385
Parque Anhembi,19,733
Parque Anhembi,20,841
Parque Anhembi,21,721
Parque Anhembi,22,658
Parque Arariba,0,439
Parque Arariba,4,4078
Parque Arariba,5,5722
Parque Arariba,6,12372
Parque Arariba,7,11952
Parque Arariba,8,4912
Parque Arariba,9,2101
Parque Arariba,10,3411
Parque Arariba,11,3810
Parque Arariba,12,13373
Parque Arariba,13,5958
Parque Arariba,14,4674
Parque Arariba,15,769
Parque Arariba,16,3950
Parque Arariba,17,4254
Parque Arariba,18,9766
Parque Arariba,19,1218
Parque Arariba,20,2316
Parque Arariba,22,968
Parque Arariba,23,351
Parque Buturussu,0,551
Parque Buturussu,2,303
Parque Buturussu,4,1165
Parque Buturussu,5,391
Parque Buturussu,6,8172
Parque Buturussu,7,13771
Parque Buturussu,8,2680
Parque Buturussu,9,2011
Parque Buturussu,10,1721
Parque Buturussu,11,2591
Parque Buturussu,12,10962
Parque Buturussu,13,2515
Parque Buturussu,14,2207
Parque Buturussu,15,3163
Parque Buturussu,16,6094
Parque Buturussu,17,8124
Parque Buturussu,18,8549
Parque Buturussu,19,3290
Parque Buturussu,20,659
Parque Buturussu,21,103
Parque Buturussu,22,696
Parque Buturussu,23,190
Parque CECAP,0,89
Parque CECAP,1,925
Parque CECAP,4,954
Parque CECAP,5,2005
Parque CECAP,6,7496
Parque CECAP,7,9575
Parque CECAP,8,8721
Parque CECAP,9,2908
Parque CECAP,10,2472
Parque CECAP,11,1891
Parque CECAP,12,11659
Parque CECAP,13,14063
Parque CECAP,14,3649
Parque CECAP,15,4223
Parque CECAP,16,4555
Parque CECAP,17,8919
Parque CECAP,18,12008
Parque CECAP,19,2405
Parque CECAP,20,246
Parque CECAP,21,958
Parque CECAP,22,1351
Parque CECAP,23,1297
Parque Continental,0,198
Parque Continental,4,181
Parque Continental,5,197
Parque Continental,6,5401
Parque Continental,7,3484
Parque Continental,8,3321
Parque Continental,9,898
Parque Continental,10,469
Parque Continental,11,882
Parque Continental,12,5906
Parque Continental,13,2922
Parque Continental,14,3315
Parque Continental,15,1630
Parque Continental,16,3381
Parque Continental,17,4700
Parque Continental,18,7017
Parque Continental,19,3126
Parque Continental,20,1052
Parque Continental,21,809
Parque Continental,22,2971
Parque Continental,23,452
Parque Cruzeiro do Sul,4,991
Parque Cruzeiro do Sul,5,2927
Parque Cruzeiro do Sul,6,10257
Parque Cruzeiro do Sul,7,9031
Parque Cruzeiro do Sul,8,2892
Parque Cruzeiro do Sul,9,2528
Parque Cruzeiro do Sul,10,1284
Parque Cruzeiro do Sul,11,3113
Parque Cruzeiro do Sul,12,7561
Parque Cruzeiro do Sul,13,6011
Parque Cruzeiro do Sul,14,868
Parque Cruzeiro do Sul,15,1890
Parque Cruzeiro do Sul,16,2476
Parque Cruzeiro do Sul,17,4741
Parque Cruzeiro do Sul,18,3906
Parque Cruzeiro do Sul,19,325
Parque Cruzeiro do Sul,20,698
Parque Cruzeiro do Sul,21,581
Parque Cruzeiro do Sul,22,402
Parque Cruzeiro do Sul,23,462
Parque Dom Pedro,3,12
Parque Dom Pedro,4,145
Parque Dom Pedro,5,401
Parque Dom Pedro,6,2377
Parque Dom Pedro,7,2485
Parque Dom Pedro,8,1592
Parque Dom Pedro,9,1407
Parque Dom Pedro,10,2725
Parque Dom Pedro,11,6307
Parque Dom Pedro,12,15825
Parque Dom Pedro,13,7999
Parque Dom Pedro,14,10626
Parque Dom Pedro,15,12572
Parque Dom Pedro,16,14912
Parque Dom Pedro,17,27072
Parque Dom Pedro,18,13668
Parque Dom Pedro,19,8712
