date,privado_c_carteira,privado_s_carteira,domestico_c_carteira,domestico_s_carteira,publico_c_carteira,militar_estatutario,publico_s_carteira,empregador_c_cnpj,empregador_s_cnpj,conta_propria_c_cnpj,conta_propria_s_cnpj,trab_fam_aux,desoc,fora
2017-08-01,19.7581316772551,6.49701382444619,1.09274989887453,2.61855473862041,0.710257691484046,4.63868465510267,1.47583696195303,2.04094986556261,0.512170747376686,2.54419777761915,11.0571775287315,1.30689794655817,7.54812382516002,38.1992528612559
2017-09-01,19.6921339633295,6.60307271700692,1.1203233187721,2.62696502332769,0.688241062672729,4.65305637276753,1.49534932097115,2.07423256366824,0.533713708359336,2.59011619268372,11.050488841342,1.32002020742326,7.44227511812428,38.1100115895516
2017-10-01,19.7370530703864,6.56535965177941,1.11164555609,2.6579730283434,0.688246367258713,4.62651203391944,1.46972369194591,2.07780331237121,0.529694356854851,2.64787795651993,11.0748876180975,1.30998402603341,7.28448506226284,38.218754268137
2017-11-01,19.713219103691,6.48699337056579,1.10391652966627,2.63634259396644,0.684903051201548,4.62932738247147,1.36624508133966,2.05767667115751,0.524063599836193,2.6416841255616,11.065279451128,1.32113881453609,7.50307138066722,38.2661388442113
2017-12-01,19.6118924692897,6.35214527327755,1.10675924277491,2.61527505786007,0.691353628864756,4.64720194647202,1.27826241766067,2.05269716930746,0.519257017387692,2.62120942377307,11.0586908788796,1.31327517654739,7.75621624829387,38.3757640496113
2018-01-01,19.4870242779232,6.32436634679865,1.10203136961669,2.56784584616663,0.694926620259099,4.64669123537895,1.28837377675705,2.05035992570042,0.529354863596171,2.58802304948756,10.984706866777,1.30795753292148,8.09105853169305,38.337279756924
2018-02-01,19.3567317324734,6.430904381124,1.08061007344355,2.56370738762663,0.721394656818869,4.64075494513963,1.35150354769681,2.03377573339814,0.541194183792627,2.58919627032442,11.0117900901595,1.28155731145636,7.9199293424461,38.4769503440999
2018-03-01,19.358524298053,6.51894650225251,1.06735021281886,2.55501027095185,0.738206164939055,4.63110411252464,1.40300610337254,2.02636704297224,0.538706984839246,2.57632175606637,10.9582472487465,1.25382570757091,7.80829135168094,38.5660922432114
2018-04-01,19.3586698337292,6.4611621228773,1.08247361765992,2.58860093830137,0.762222143439572,4.61882984129235,1.45235816168563,2.03613760177734,0.536509849800877,2.62050791174767,10.9606362486853,1.25678023185734,7.63581144160433,38.6293000555418
2018-05-01,19.4258192463878,6.51560581735764,1.09252526206441,2.60057606950609,0.76494475398999,4.6197705165738,1.46850505241288,2.06818396449145,0.522358107470016,2.64484370573236,10.9512229672301,1.25306922277835,7.57094626499197,38.5016290490131
2018-06-01,19.4007936741926,6.56579653401419,1.08909081260208,2.61629449675985,0.772446651060493,4.62760405917767,1.48415894711394,2.0749921870854,0.530688538896522,2.66818404278529,11.0147354517634,1.27954903267272,7.46796705013827,38.4076985217376
2018-07-01,19.3885727078841,6.74761685932106,1.06519613041583,2.61173365383482,0.760012725794478,4.62724027006964,1.49999410842848,2.07206570280557,0.530241436600799,2.69126986932494,11.1062014681796,1.29850236252018,7.33500653964438,38.2663461651761
2018-08-01,19.3546297277878,6.81531738459545,1.06599762064619,2.61198864506402,0.753854670954215,4.61912670647962,1.50123090332992,2.11255992555685,0.538888299939927,2.71505471335854,11.144681201927,1.31453408247641,7.24937276935581,38.2027633485282
2018-09-01,19.3622417455675,6.84598591259217,1.03919641753806,2.63506316972561,0.748503874919824,4.63636952082806,1.51701492888625,2.11016894297365,0.519598208769029,2.75216401179247,11.2152007485039,1.29517062004602,7.15786252714209,38.1654593707154
2018-10-01,19.375253645138,6.75681239376312,1.04634133430576,2.63320413360702,0.722263720363955,4.65177830973821,1.44629192864411,2.12679610165803,0.53228718805324,2.75789461301839,11.2256721228554,1.26925497438552,7.14735238588174,38.3087971485875
2018-11-01,19.310904027169,6.61245402305604,1.04704043620809,2.60996274839301,0.732693279434058,4.66291408627801,1.33788500182145,2.13521040694737,0.510006228186658,2.78329435820299,11.2189618905484,1.26620209878139,7.41800533508819,38.3544660798853
2018-12-01,19.3545547378429,6.49964200617393,1.04874584785849,2.57109992135873,0.722443278519197,4.63924786084017,1.2576733922556,2.14913670669155,0.50529948237614,2.79469934387361,11.1206967381481,1.25884714250502,7.66048100285221,38.4174325387044
2019-01-01,19.306631632659,6.52430191025273,1.03694406484419,2.54543961618993,0.717884352584442,4.6856030169911,1.26098967161483,2.10379997771274,0.497357786757849,2.79294549592085,11.136591574243,1.27037378079894,7.85156685298034,38.26957026645
2019-02-01,19.4352880453271,6.57911715368283,1.03874623153894,2.56665923727521,0.726711790444239,4.66292068929112,1.33318474550424,2.06048306685279,0.509108824943986,2.77781036282802,11.230893755792,1.25458960432625,7.72871772613699,38.0957687660563
2019-03-01,19.4719104416376,6.67233244439235,1.0368373237992,2.58711133253231,0.745538200041028,4.6232746241538,1.39671189520265,2.0707440729127,0.521056179116725,2.78639041115963,11.2997098731061,1.26600826422061,7.61011634381502,37.9122585939103
